MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_1,6288.293858,2271.68714,4148.4799999999996,0.41225000000000001,0.68720000000000003,OPr,4,7,27,acs,14.048790739999999,5.6047789999999997
mof_unit_pretest_2,1790.506437,887.74731999999995,2191.3400000000001,0.30230999999999991,0.36720000000000003,HCO-OPr,2,4,26,pcu,20.217221689999999,6.1487759999999998
mof_unit_pretest_3,2348.9692030000001,1239.7658800000002,2030.8800000000001,0.28532999999999997,0.3256,SO3H-OH,3,18,22,pcu,33.108661509999997,6.1643970000000001
mof_unit_pretest_4,2941.5715249999998,1147.9513999999999,3587.1300000000001,0.41963,0.64749999999999996,Et-OH,2,8,15,pcu,12.800561679999999,5.1649570000000002
mof_unit_pretest_5,705.39760100000001,643.27074000000005,0,0.070599999999999996,0.046600000000000003,Cl-H,3,10,22,pcu,23.395616520000001,7.090687
mof_unit_pretest_6,2795.3765039999998,1592.7451799999999,1480.3800000000001,0.20913000000000001,0.221,OEt-COOH,9,10,28,sra,49.251809819999998,7.3345429999999991
mof_unit_pretest_7,1493.202771,895.92428000000007,1769.29,0.28863,0.28970000000000001,Cl-H,3,1,18,pcu,18.487603289999999,5.6712040000000004
mof_unit_pretest_8,4288.4052950000005,1848.99596,2734.2800000000002,0.38901999999999998,0.54339999999999999,CN-NH2,3,16,16,pcu,13.97259895,5.2743349999999998
mof_unit_pretest_9,6880.3221389999999,2356.7782260000004,3985.1799999999998,0.43975999999999998,0.77310000000000001,CN-F,4,3,27,acs,10.29489266,5.0648759999999999
mof_unit_pretest_10,1750.5484570000001,1027.7149999999999,1426.8599999999999,0.20681999999999989,0.21210000000000001,H-OH,2,10,29,pcu,72.743460690000006,7.4254639999999998
mof_unit_pretest_11,4158.54216,1987.4517599999999,2213.8099999999999,0.28600999999999999,0.3604,Pr-NHMe,4,6,17,acs,35.17498629,6.7267390000000002
mof_unit_pretest_12,7354.2021040000009,3502.9474399999999,1770.0699999999999,0.23401999999999989,0.2959,OPr-OH,4,27,27,acs,32.902075619999998,6.6009840000000004
mof_unit_pretest_13,5067.8342400000001,2694.70244,0,0.24332999999999999,0.27560000000000001,OMe-Et,3,9,9,nbo,14.182706619999999,5.9961640000000003
mof_unit_pretest_14,3930.4398740000001,2941.6221730000002,645.62,0.13292999999999999,0.107,H-F,4,4,11,acs,64.13190702,7.5440460000000007
mof_unit_pretest_15,2004.557069,1695.0737800000002,0,0.074800000000000005,0.0533,HCO,4,14,22,acs,165.80064319999997,8.8198749999999997
mof_unit_pretest_16,1043.0783080000001,587.97835999999995,1774.1800000000001,0.26095999999999991,0.27879999999999999,Cl,3,10,23,pcu,13.898501120000001,5.2125269999999997
mof_unit_pretest_17,1148.410429,580.49356,2536.8699999999999,0.30958999999999998,0.36880000000000002,NH2-Me,2,11,14,pcu,11.39964462,4.8471980000000006
mof_unit_pretest_18,3756.8624880000002,1165.90236,3712.3099999999999,0.4831399999999999,0.9375,Pr-HCO,3,18,26,pcu,11.002558670000001,5.2094060000000004
mof_unit_pretest_19,2873.5209840000002,1107.9749800000002,3478.7199999999998,0.4154199999999999,0.64880000000000004,Et-HCO,2,4,29,pcu,14.227260060000001,4.9489109999999998
mof_unit_pretest_20,1821.9095070000001,1283.711,1247.5899999999999,0.21676999999999999,0.18529999999999999,SO3H-OH,3,4,7,pcu,32.825736110000001,6.621175
mof_unit_pretest_21,2492.1623050000003,1059.35664,3114.6700000000001,0.43291999999999992,0.61329999999999996,NO2,3,1,28,pcu,8.3641916199999997,4.9051920000000004
mof_unit_pretest_22,1347.6842160000001,784.71544000000006,1291.0699999999999,0.20065,0.20749999999999999,OEt-NH2,2,4,13,pcu,31.52642488,6.3778370000000004
mof_unit_pretest_23,2264.9692060000002,1495.8850600000001,457.88,0.12567,0.11459999999999999,NO2-OPr,9,2,2,sra,33.873598549999997,6.4025290000000004
mof_unit_pretest_24,1212.656776,621.50065999999993,2353.1599999999999,0.30135000000000001,0.35410000000000003,Me,2,14,19,pcu,17.45588102,5.8355930000000003
mof_unit_pretest_25,3993.131734000001,3266.1782400000002,0,0.073800000000000004,0.054300000000000001,SO3H-Pr,4,1,11,acs,40.833832620000003,8.105341000000001
mof_unit_pretest_26,2432.7565829999999,1799.63768,1032.3599999999999,0.20058999999999999,0.1633,Br,9,18,19,sra,47.833059609999999,6.6796820000000006
