,MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],CO2_working_capacity [mL/g]
0,mof_unit_pretest_1,6288.293858,2271.68714,4148.48,0.41225,0.6872,OPr,4,7,27,acs,14.04879074,5.604779,78.928345
1,mof_unit_pretest_2,1790.506437,887.74732,2191.34,0.3023099999999999,0.3672,HCO-OPr,2,4,26,pcu,20.21722169,6.148776,118.548584
2,mof_unit_pretest_3,2348.969203,1239.7658800000004,2030.88,0.28533000000000003,0.3256,SO3H-OH,3,18,22,pcu,33.10866151,6.164397,110.778305
3,mof_unit_pretest_4,2941.571525,1147.9514,3587.13,0.41963,0.6475,Et-OH,2,8,15,pcu,12.80056168,5.164957,59.681446
4,mof_unit_pretest_5,705.397601,643.27074,0.0,0.0706,0.0466,Cl-H,3,10,22,pcu,23.39561652,7.090687,79.74671
5,mof_unit_pretest_6,2795.376504,1592.7451800000001,1480.38,0.20913,0.221,OEt-COOH,9,10,28,sra,49.25180982,7.334542999999999,149.9656
6,mof_unit_pretest_7,1493.202771,895.9242800000002,1769.29,0.28863,0.2897,Cl-H,3,1,18,pcu,18.48760329,5.671204,94.98708
7,mof_unit_pretest_8,4288.405295000001,1848.9959600000002,2734.28,0.38902,0.5434,CN-NH2,3,16,16,pcu,13.97259895,5.274335,74.62977
8,mof_unit_pretest_9,6880.322139,2356.778226000001,3985.18,0.43976000000000004,0.7731,CN-F,4,3,27,acs,10.29489266,5.064876,68.24802
9,mof_unit_pretest_10,1750.548457,1027.715,1426.86,0.2068199999999999,0.2121,H-OH,2,10,29,pcu,72.74346069,7.425464,200.35823
10,mof_unit_pretest_11,4158.54216,1987.4517600000001,2213.81,0.28601,0.3604,Pr-NHMe,4,6,17,acs,35.17498629,6.726739,116.41455
11,mof_unit_pretest_12,7354.202104000001,3502.94744,1770.07,0.2340199999999999,0.2959,OPr-OH,4,27,27,acs,32.90207562,6.6009839999999995,158.17776
12,mof_unit_pretest_13,5067.83424,2694.70244,0.0,0.24333000000000002,0.2756,OMe-Et,3,9,9,nbo,14.18270662,5.996164,147.13121
13,mof_unit_pretest_14,3930.439874,2941.622173,645.62,0.13293,0.107,H-F,4,4,11,acs,64.13190702,7.544046000000002,197.12245
14,mof_unit_pretest_15,2004.5570690000002,1695.0737800000004,0.0,0.0748,0.0533,HCO,4,14,22,acs,165.80064319999997,8.819875,174.98814
15,mof_unit_pretest_16,1043.078308,587.97836,1774.18,0.2609599999999999,0.2788,Cl,3,10,23,pcu,13.89850112,5.212527,79.8486
16,mof_unit_pretest_17,1148.410429,580.49356,2536.87,0.30959000000000003,0.3688,NH2-Me,2,11,14,pcu,11.39964462,4.8471980000000014,57.958786
17,mof_unit_pretest_18,3756.862488,1165.90236,3712.31,0.4831399999999999,0.9375,Pr-HCO,3,18,26,pcu,11.00255867,5.2094059999999995,56.647766
18,mof_unit_pretest_19,2873.5209839999998,1107.9749800000004,3478.72,0.4154199999999999,0.6488,Et-HCO,2,4,29,pcu,14.22726006,4.948911,55.706375
19,mof_unit_pretest_20,1821.909507,1283.711,1247.59,0.21677,0.1853,SO3H-OH,3,4,7,pcu,32.82573611,6.621175,131.40118
20,mof_unit_pretest_21,2492.1623050000007,1059.35664,3114.67,0.4329199999999999,0.6133,NO2,3,1,28,pcu,8.36419162,4.9051919999999996,57.04767
21,mof_unit_pretest_22,1347.684216,784.7154400000002,1291.07,0.20065,0.2075,OEt-NH2,2,4,13,pcu,31.52642488,6.377837,164.9299
22,mof_unit_pretest_23,2264.9692059999998,1495.88506,457.88,0.12567,0.1146,NO2-OPr,9,2,2,sra,33.87359855,6.402529,145.33789
23,mof_unit_pretest_24,1212.656776,621.5006599999998,2353.16,0.30135,0.3541,Me,2,14,19,pcu,17.45588102,5.835593,96.56561
24,mof_unit_pretest_25,3993.1317340000014,3266.1782399999997,0.0,0.0738,0.0543,SO3H-Pr,4,1,11,acs,40.83383262,8.105341000000001,220.3476
25,mof_unit_pretest_26,2432.756583,1799.63768,1032.36,0.20059000000000002,0.1633,Br,9,18,19,sra,47.83305961,6.6796820000000015,130.80713
26,mof_unit_pretest_27,1638.4931060000001,978.31388,1497.16,0.25654,0.2587,H,9,4,11,sra,13.02054117,5.577853,74.02544
27,mof_unit_pretest_28,1298.343461,709.260263,1740.33,0.26968000000000003,0.2973,F,3,4,16,pcu,16.26037363,5.46802,98.04351
28,mof_unit_pretest_29,2002.4510739999998,868.3934199999999,2712.76,0.3867,0.537,NH2-HCO,3,14,27,pcu,11.75062397,4.967974,59.690067
29,mof_unit_pretest_30,1534.629101,951.66213,1482.66,0.22557,0.2191,I-OEt,2,4,18,pcu,17.95802711,6.0720339999999995,129.29373
30,mof_unit_pretest_31,2033.5534690000002,995.58428,2540.58,0.31956,0.3931,Me,12,1,10,bcu,25.39120983,5.803627,67.75538
31,mof_unit_pretest_32,2776.2598350000007,1199.98268,3117.28,0.36578,0.5096,COOH-OMe,2,24,29,pcu,12.454159599999999,4.956232,63.530968
32,mof_unit_pretest_33,920.860707,791.1949400000002,791.22,0.17359000000000002,0.1217,I-NHMe,2,5,13,pcu,19.18901518,6.3690370000000005,109.9901
33,mof_unit_pretest_34,4529.021154,1287.85344,4701.36,0.4900899999999999,1.0379,OMe-OEt,3,25,27,pcu,12.9285465,5.32066,61.917915
34,mof_unit_pretest_35,1348.618265,996.19844,0.0,0.09917000000000001,0.0809,OH-Me,9,5,24,sra,27.13887544,6.894887,116.20879
35,mof_unit_pretest_36,704.9624269999998,488.949783,1210.82,0.21938000000000002,0.1905,HCO-F,3,10,11,pcu,17.46808633,5.769334,110.40901
36,mof_unit_pretest_37,2345.3505609999997,1976.6725760000002,511.79,0.10188,0.0728,NH2-OH,10,50,57,etb,25.36073055,6.365133,136.29417
37,mof_unit_pretest_38,5140.265374000001,2575.1096,2450.29,0.36068,0.4336,NH2-Br,12,1,22,bcu,12.51165092,4.724266,66.037415
38,mof_unit_pretest_39,2877.707458,1089.7238,3371.9,0.36291,0.5771,OPr-OEt,3,8,14,pcu,17.41426633,5.823179,75.33063
39,mof_unit_pretest_40,3602.187048,1759.70112,2413.59,0.29983000000000004,0.3696,OPr-Br,3,13,28,pcu,24.81433562,5.8405580000000015,93.87714
40,mof_unit_pretest_41,899.1832820000002,621.99964,0.0,0.13385,0.1165,NHMe-Cl,3,10,21,pcu,19.69229759,6.266769999999998,100.32014
41,mof_unit_pretest_42,1123.08791,759.34376,834.02,0.12587,0.1121,OH,3,4,9,pcu,59.69567745,6.895952,177.64185
42,mof_unit_pretest_43,1354.616724,645.56358,2364.14,0.31035,0.3922,OPr,2,11,16,pcu,13.79875321,5.292586,77.117805
43,mof_unit_pretest_44,2991.79617,1837.237078,990.93,0.14273,0.14,Et-F,9,16,23,sra,51.64056543,6.704681,152.0739
44,mof_unit_pretest_45,4149.367207,2021.3339600000002,2226.72,0.29638000000000003,0.3664,HCO-OMe,4,6,17,acs,29.49546395,5.755008,93.34799
45,mof_unit_pretest_46,3270.2097,2408.699558,580.98,0.13726,0.1122,F-NO2,9,17,18,sra,30.32731763,7.059143,180.72675
46,mof_unit_pretest_47,938.653499,571.390806,1686.1,0.25901,0.2562,F,2,4,5,pcu,15.12507064,5.455203,95.19623
47,mof_unit_pretest_48,1242.33069,689.25392,1558.05,0.22741,0.2468,Ph,3,5,26,pcu,24.04554404,6.075003,136.83005
